station,line,company,lng,lat
SÉ,AZUL,METRO,-46.6330881600256,-23.5510004107585
CORINTHIANS-ITAQUERA,VERMELHA,METRO,-46.4710777200253,-23.5423052517728
ARTUR ALVIM,VERMELHA,METRO,-46.4845899600253,-23.5402883890942
PATRIARCA,VERMELHA,METRO,-46.5013818000254,-23.531182748673
GUILHERMINA-ESPERANÇA,VERMELHA,METRO,-46.5165482400254,-23.5292629205976
VILA MATILDE,VERMELHA,METRO,-46.5310054800254,-23.5318773653745
PENHA,VERMELHA,METRO,-46.5423490800254,-23.5334812904761
CARRÃO,VERMELHA,METRO,-46.5641553600255,-23.5378510166339
TATUAPÉ,VERMELHA,METRO,-46.5762844800255,-23.5404398776451
BELÉM,VERMELHA,METRO,-46.5901077600255,-23.5430225820725
BRESSER-MOOCA,VERMELHA,METRO,-46.6075400400256,-23.5464763398491
BRÁS,VERMELHA,METRO,-46.6159089600256,-23.5478843842948
PEDRO II,VERMELHA,METRO,-46.6259094000256,-23.5497154960644
SÉ,VERMELHA,METRO,-46.6331346000256,-23.5509213724491
ANHANGABAÚ,VERMELHA,METRO,-46.6388856000256,-23.5479475834047
REPÚBLICA,VERMELHA,METRO,-46.6431490800257,-23.5438938682709
SANTA CECÍLIA,VERMELHA,METRO,-46.6488795600257,-23.5396380424718
MARECHAL DEODORO,VERMELHA,METRO,-46.6560266400257,-23.5335182569316
PALMEIRAS-BARRA FUNDA,VERMELHA,METRO,-46.6673727600257,-23.5259476731536
VILA MADALENA,VERDE,METRO,-46.6908548400258,-23.5463906983139
SANTUÁRIO NOSSA SENHORA DE FÁTIMA-SUMARÉ,VERDE,METRO,-46.6775384400258,-23.551016251416
CLÍNICAS,VERDE,METRO,-46.6707621600257,-23.5541110832647
CONSOLAÇÃO,VERDE,METRO,-46.6611922800257,-23.5572279521142
TRIANON-MASP,VERDE,METRO,-46.6544160000257,-23.5631613486707
BRIGADEIRO,VERDE,METRO,-46.6473538800257,-23.5688799977096
PARAÍSO,VERDE,METRO,-46.6410556800257,-23.5757680810685
ANA ROSA,VERDE,METRO,-46.6386274800257,-23.5813550310682
CHÁCARA KLABIN,VERDE,METRO,-46.6304864400256,-23.5926318091559
SANTOS-IMIGRANTES,VERDE,METRO,-46.6207002000256,-23.5959376217831
ALTO DO IPIRANGA,VERDE,METRO,-46.6123701600256,-23.6021945360708
SACOMÃ,VERDE,METRO,-46.6031721600256,-23.6014148504086
TAMANDUATEÍ,VERDE,METRO,-46.5895746000255,-23.5929384593193
VILA PRUDENTE,VERDE,METRO,-46.5819062400255,-23.5843259193582
VILA MARIANA,AZUL,METRO,-46.6346509200256,-23.5891075077065
TUCURUVI,AZUL,METRO,-46.6031505600256,-23.4799804490933
PARADA INGLESA,AZUL,METRO,-46.6088209200256,-23.4870326613261
AYRTON SENNA-JARDIM SÃO PAULO,AZUL,METRO,-46.6171095600256,-23.4924165354707
SANTANA,AZUL,METRO,-46.6247728800256,-23.5025689137785
CARANDIRU,AZUL,METRO,-46.6249626000256,-23.5092756045208
PORTUGUESA-TIETÊ,AZUL,METRO,-46.6251613200256,-23.5161313246594
ARMÊNIA,AZUL,METRO,-46.6293398400256,-23.5255000885457
TIRADENTES,AZUL,METRO,-46.6321716000256,-23.5306581117696
LUZ,AZUL,METRO,-46.6336702800256,-23.5369022939092
SÃO BENTO,AZUL,METRO,-46.6341667200256,-23.5440841313263
JAPÃO-LIBERDADE,AZUL,METRO,-46.6357338000257,-23.5549763559096
SÃO JOAQUIM,AZUL,METRO,-46.6386966000257,-23.5619110364488
VERGUEIRO,AZUL,METRO,-46.6399368000257,-23.5689146444307
PARAÍSO,AZUL,METRO,-46.6407738000257,-23.5757241975106
ANA ROSA,AZUL,METRO,-46.6384521600256,-23.5812570396042
VILA MARIANA,AZUL,METRO,-46.6346509200256,-23.5891075077065
SANTA CRUZ,AZUL,METRO,-46.6366881600256,-23.5988293353744
PRAÇA DA ÁRVORE,AZUL,METRO,-46.6378837200256,-23.6106417956774
SAÚDE,AZUL,METRO,-46.6392373200256,-23.6186089189992
SÃO JUDAS,AZUL,METRO,-46.6408116000257,-23.6257514908149
CONCEIÇÃO,AZUL,METRO,-46.6413321600257,-23.6353777618427
JABAQUARA,AZUL,METRO,-46.6409908800256,-23.6464831923078
ORATÓRIO,PRATA,METRO,-46.5618999600255,-23.5821775625938
VILA PRUDENTE,PRATA,METRO,-46.5837879600255,-23.5847495487919
SÃO LUCAS,PRATA,METRO,-46.5443694000254,-23.5892945710658
VILA TOLSTÓI,PRATA,METRO,-46.5270951600254,-23.6009205137721
VILA UNIÃO,PRATA,METRO,-46.5161130000254,-23.6028698090543
CAMILO HADDAD,PRATA,METRO,-46.5376932000254,-23.5954129135104
CAPÃO REDONDO,LILAS,METRO,-46.768012200026,-23.6592992134671
CAMPO LIMPO,LILAS,METRO,-46.758960720026,-23.6493843429268
VILA DAS BELEZAS,LILAS,METRO,-46.7457364800259,-23.6404061491715
GIOVANNI GRONCHI,LILAS,METRO,-46.7340962400259,-23.643964687493
SANTO AMARO,LILAS,METRO,-46.7209342800259,-23.655750160338
LARGO TREZE,LILAS,METRO,-46.7095352400258,-23.6544631390193
ADOLFO PINHEIRO,LILAS,METRO,-46.7038836000258,-23.6496526074844
ALTO DA BOA VISTA,LILAS,METRO,-46.6990556400258,-23.6415008787153
BORBA GATO,LILAS,METRO,-46.6930152000258,-23.6333611748687
BROOKLIN,LILAS,METRO,-46.6880284800258,-23.6272531789477
EUCALIPTOS,LILAS,METRO,-46.6689913200257,-23.6101450198413
MOEMA,LILAS,METRO,-46.6619868000257,-23.6033288409508
HOSPITAL SÃO PAULO,LILAS,METRO,-46.6453598400257,-23.5981598147517
SANTA CRUZ,LILAS,METRO,-46.6371774000256,-23.5984753591418
CHÁCARA KLABIN,LILAS,METRO,-46.6304864400256,-23.5926318091559
AACD-SERVIDOR,LILAS,METRO,-46.6517998800257,-23.5976359401097
LUZ,AMARELA,VIAQU,-46.6344918000256,-23.5361547305672
REPÚBLICA,AMARELA,VIAQU,-46.6430252400257,-23.544582147283
PAULISTA,AMARELA,VIAQU,-46.6621866000257,-23.5550758519984
FARIA LIMA,AMARELA,VIAQU,-46.6939879200258,-23.5671582091457
PINHEIROS,AMARELA,VIAQU,-46.7016955200258,-23.5671834520885
BUTANTÃ,AMARELA,VIAQU,-46.7082396000258,-23.5719928866217
FRADIQUE COUTINHO,AMARELA,VIAQU,-46.6841649600258,-23.5661686159684
HIGIENÓPOLIS-MACKENZIE,AMARELA,VIAQU,-46.6522614000257,-23.5489515046176
OSCAR FREIRE,AMARELA,VIAQU,-46.6720837200257,-23.5605181568034
SÃO PAULO-MORUMBI,AMARELA,VIAQU,-46.7238301172733,-23.5863889246463
CAMPO BELO,LILAS,METRO,-46.6823188800257,-23.6189738906059
SÃO MATEUS,PRATA,METRO,-46.4766822335542,-23.6120875620907
FAZENDA DA JUTA,PRATA,METRO,-46.4874718984318,-23.6116882723956
SAPOPEMBA,PRATA,METRO,-46.5014272263706,-23.614753001592
JARDIM PLANALTO,PRATA,METRO,-46.5070524766798,-23.6073907484887
